name,state,city,address,latitude,longitude,type,station_id,type_label
Eesl Gopal Das Building,Delhi,New Delhi,"New Barakhamba Rd, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",28.63143715,77.22343991,8,eesl gopal das building_28.63144_77.22344,Public_AC
Eesl Hp Petrol Pump,Delhi,New Delhi,"Radial Rd Number 7, Block E, Connaught Place, New Delhi, Delhi 110001",28.63195905,77.22212172,8,eesl hp petrol pump_28.63196_77.22212,Public_AC
"Eesl Block M, Cp",Delhi,New Delhi,"K-11, Connaught Cir, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",28.63314358,77.22298998,8,"eesl block m, cp_28.63314_77.22299",Public_AC
Eesl Shanker Market,Delhi,New Delhi,"11, Shankar Market, Connaught Lane, Barakhamba, New Delhi, Delhi 110001",28.63382667,77.22352744,8,eesl shanker market_28.63383_77.22353,Public_AC
Eesl Ktm,Delhi,New Delhi,"NDMC Parking, Opp South Indian Bank, Block - E , RR6, Middle Circle, connaught Place, New Delhi - 110001",28.63372677,77.22193874,8,eesl ktm_28.63373_77.22194,Public_AC
Eesl M Block,Delhi,New Delhi,"NDMC Parking, Outside Westebd Vedi Tailors, Block M, Middle Circle, Connaught Place, New Delhi - 110001",28.63385213,77.2218576,8,eesl m block_28.63385_77.22186,Public_AC
Eesl Snow White,Delhi,New Delhi,"D-8, D Block, Connaught Place, New Delhi, Delhi 110001",28.63410545,77.22086228,8,eesl snow white_28.63411_77.22086,Public_AC
Eesl Croma,Delhi,New Delhi,"Ground Floor, Odeon Cine Complex, Middle Cir, D Block, Connaught Place, New Delhi, Delhi 110001",28.63418123,77.22131977,8,eesl croma_28.63418_77.22132,Public_AC
Eesl Ferns N Petal,Delhi,New Delhi,"C-17.Inner Circle Opp.Odean Cinema, Rajiv Chowk, Connaught Place, New Delhi, Delhi 110001",28.63457602,77.22062451,8,eesl ferns n petal_28.63458_77.22062,Public_AC
Eesl Van Heusen,Delhi,New Delhi,"Ground & Mazanine Floor, Rajiv Chowk, Block A, Connaught Place, New Delhi, Delhi 110001",28.63296432,77.21796241,8,eesl van heusen_28.63296_77.21796,Public_AC
Eesl Block B,Delhi,New Delhi,"Shop No. B-29, Inner Circle, New Delhi, Delhi 110001",28.6319879,77.21694388,8,eesl block b_28.63199_77.21694,Public_AC
Eesl Pvr Plaza,Delhi,New Delhi,"Plaza Mall, Connaught Cir, Block H, Connaught Place, New Delhi, Delhi 110001",28.63518078,77.21960047,8,eesl pvr plaza_28.63518_77.2196,Public_AC
Eesl Block H,Delhi,New Delhi,"Connaught Cir, Block H, Connaught Place, New Delhi, Delhi 110001",28.63455142,77.21791736,8,eesl block h_28.63455_77.21792,Public_AC
Eesl Iqbal Bros,Delhi,New Delhi,"Marina Arcade, Middle Cir, Sector 1, Block G, Connaught Place, New Delhi, Delhi 110001",28.6339199,77.21740165,8,eesl iqbal bros_28.63392_77.2174,Public_AC
Eesl Block A,Delhi,New Delhi,"9 A, Phelps Building, Inner Circle, Connaught Place, New Delhi, Delhi 110001",28.63259875,77.21833827,8,eesl block a_28.6326_77.21834,Public_AC
Ev Plugin Charge Cross River Mall,Delhi,New Delhi,"Cross River Mall, Plot No - 9B & 9C, Basement, 2, CBD Ground, Shahdara, New Delhi, Delhi 110032",28.65740137,77.30219421,8,ev plugin charge cross river mall_28.6574_77.30219,Public_AC
Eesl Chelmsford Club,Delhi,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,16,eesl chelmsford club_28.61826_77.21257,DC_high_power
Eesl Chelmsford Club,Delhi,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,16,eesl chelmsford club_28.61826_77.21257,DC_high_power
U00A0Eesl Sushma Swaraj Bhawan,Delhi,Delhi,"Susma swaraj Bhawan, MEA, New Delhi",28.59583333,77.18055556,16,u00a0eesl sushma swaraj bhawan_28.59583_77.18056,DC_high_power
Eesl Delhi Haat,Delhi,Delhi,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.572793,77.208662,16,eesl delhi haat_28.57279_77.20866,DC_high_power
Eesl Chelmsford Club,Delhi,Delhi,"Back of Hotel Claridges Near NDMC Power Sub nStation, Tees January Marg, nDr. APJ Abdul Kalam Road, New Delhi- 110003",28.61826041,77.21256986,16,eesl chelmsford club_28.61826_77.21257,DC_high_power
